Date,MON Closing,KO Closing,CL Closing,PEP Closing,COST Closing,MRK Closing,PFE Closing,T Closing,NEE Closing,BMY Closing
2021-03-16,9.78499984741211,50.45614242553711,74.5794906616211,132.1323699951172,325.4130554199219,72.02191925048828,34.8559684753418,28.40447425842285,74.31298065185547,60.47766876220703
2021-03-17,9.680000305175781,50.47584533691406,74.5205078125,131.74783325195312,327.3421936035156,72.48137664794922,34.817054748535156,28.556015014648438,71.92723846435547,60.75123596191406
2021-03-18,9.770000457763672,49.815834045410156,74.78594207763672,130.67311096191406,321.16705322265625,72.4532470703125,34.79759979248047,28.423418045043945,70.12313842773438,60.897789001464844
2021-03-19,9.75,50.0522575378418,73.7143325805664,132.61550903320312,327.0637512207031,72.67828369140625,34.56412124633789,28.186634063720703,69.83724212646484,61.25928497314453
2021-03-22,9.699999809265137,50.23942184448242,74.49099731445312,135.86927795410156,332.6124267578125,72.67828369140625,35.02134704589844,28.40447425842285,70.67521667480469,61.92366027832031
2021-03-23,9.65999984741211,50.62360763549805,76.43757629394531,137.50601196289062,338.4295959472656,71.51558685302734,34.398746490478516,28.41394805908203,72.97223663330078,61.18112564086914
2021-03-24,9.699999809265137,50.751670837402344,76.45724487304688,136.8651123046875,336.14251708984375,71.4874496459961,34.64195251464844,28.40447425842285,71.79907989501953,60.86847686767578
2021-03-25,9.600000381469727,51.24421310424805,76.5752182006836,137.67364501953125,344.3959045410156,71.32804870605469,34.7003173828125,28.489717483520508,72.4103012084961,61.34721755981445
2021-03-26,9.654999732971191,52.249000549316406,77.88277435302734,140.7006072998047,350.04400634765625,72.56575775146484,35.26455307006836,28.707555770874023,73.01167297363281,62.47079086303711
2021-03-29,9.800000190734863,53.04692077636719,78.5512924194336,142.7810516357422,354.1508483886719,73.41902923583984,35.624488830566406,28.944339752197266,73.74119567871094,62.597801208496094
2021-03-30,9.800000190734863,52.35736083984375,77.99091339111328,140.5428466796875,347.7867736816406,72.16256713867188,35.128353118896484,29.1053524017334,73.16940307617188,61.85527038574219
2021-03-31,9.628000259399414,51.923919677734375,77.49935150146484,139.46812438964844,350.50146484375,72.28446197509766,35.245094299316406,28.669673919677734,74.53973388671875,62.16050720214844
2021-04-01,9.75,51.72690200805664,77.22408294677734,139.30050659179688,352.9476318359375,72.28446197509766,35.31319046020508,28.859098434448242,74.69746398925781,61.96358108520508
2021-04-05,9.75,52.022430419921875,78.18753051757812,141.15419006347656,358.7946472167969,72.2000732421875,35.293731689453125,29.086410522460938,75.69316864013672,62.19004821777344
2021-04-06,9.770000457763672,52.39676284790039,78.511962890625,141.6570281982422,358.09857177734375,71.06550598144531,35.069984436035156,29.342134475708008,76.46212005615234,61.028167724609375
2021-04-07,9.789999961853027,52.485416412353516,78.27601623535156,141.4006805419922,356.7958984375,71.37493133544922,34.93379211425781,29.29477882385254,76.31425476074219,61.10694122314453
2021-04-08,9.789999961853027,52.32780456542969,78.2956771850586,140.5428466796875,359.1923828125,70.7842025756836,34.98242950439453,28.899816513061523,76.65929412841797,60.95924758911133
2021-04-09,9.789999961853027,52.38690948486328,78.43331909179688,140.57244873046875,361.17120361328125,71.55308532714844,35.60503387451172,28.9383487701416,76.83675384521484,61.648494720458984
